# Stockfish 19, depth 10, Threads 1, White-point-of-view centipawns clipped to +-1500
fen,cp
4r1k1/1b2qp2/rp1p1bp1/p1pPp3/P1P1P2p/2NRQN1P/1P3PP1/4R1K1 w - c6 0 21,235
3q2k1/1b2rp2/rp1p1bp1/p1pPp3/P1P1P2p/1PN1RN1P/4QPP1/4R1K1 w - - 3 24,46
2q3k1/1b2rp2/rp1p1bp1/p1pPp3/P1P1P2p/1PN1RN1P/4QPP1/4R1K1 b - - 6 25,29
4r1k1/1b1qrp2/1p1p1bp1/p1pPp3/P1P1P2p/1PN1RN1P/4QPP1/4R1K1 w - - 11 28,-6
4r1k1/1b1qrp2/1p1p1bp1/p1pPp3/P1P1P2p/1PNR1N1P/4QPP1/4R1K1 b - - 12 28,-7
3r2k1/1b1qrp2/1p1p1bp1/p1pPp3/P1P1P2p/1PNR1N1P/4QPP1/4R1K1 w - - 13 29,46
r5k1/1b1qrp2/1p1p1bp1/p1pPp3/P1P1P2p/1PN1RN1P/4QPP1/4R1K1 w - - 15 30,-10
r3r1k1/1b1q1p2/1p1p1bp1/p1pPp3/P1P1P2p/1PNR1N1P/4QPP1/4R1K1 w - - 17 31,-3
r3r1k1/1b1q1p2/1p1p1bp1/p1pPp3/P1P1P2p/1PN1RN1P/4QPP1/4R1K1 b - - 18 31,-11
3rr1k1/1b1q1p2/1p1p1bp1/p1pPp3/P1P1P2p/1PN1RN1P/4QPP1/4R1K1 w - - 19 32,-21
3rr1k1/1b1q1p2/1p1p1bp1/p1pPp3/P1P1P2p/1PNR1N1P/4QPP1/4R1K1 b - - 20 32,-18
3rr1k1/1bq2p2/1p1p1bp1/p1pPp3/P1P1P2p/1PN1RN1P/4QPP1/4R1K1 w - - 23 34,-5
3rr1k1/1bq2p2/1p1p1b2/p1pPp1p1/P1P1P3/1PN1RNPP/8/4RQK1 b - - 0 36,187
3rr1k1/1b1q1p2/1p1p1b2/p1pPp1p1/P1P1P2P/1PN1RNP1/8/4RQK1 b - - 0 37,115
3rr1k1/1b1q1p2/1p1p1Q2/p1pPp1p1/P1P1P2P/1PN1R1P1/7N/4R1K1 b - - 0 39,742
3rr1k1/1b1q1p2/1p1p1Q2/p1pPp3/P1P1P2P/1PN1R3/7N/4R1K1 b - - 0 40,613
3rr3/1b1qkp2/1p1p3Q/p1pPp3/P1P1P2P/1PN1R3/7N/4R1K1 w - - 3 42,944
3rrk2/1b1q1p2/1p1p4/p1pPp1Q1/P1P1P2P/1PN1R3/7N/4R1K1 w - - 5 43,934
3rrk2/1b1q1p2/1p1p4/p1pPp1Q1/P1P1P1NP/1PN1R3/8/4R1K1 b - - 6 43,774
r1bq1rk1/1ppn1pbp/3p1np1/p2Pp3/2P1P3/2N2N1P/PP2BPP1/R1BQ1RK1 b - - 2 9,-10
r1bq1rk1/1pp2pbp/3p1np1/p1nPp3/2P1P3/2N2N1P/PP2BPP1/R1BQ1RK1 w - - 3 10,-37
r1bq1rk1/1ppn1pbp/3p2p1/p1nPp3/2P1P3/2N2N1P/PPQ1BPP1/R1B2RK1 w - - 5 11,0
r2qr1k1/1ppb1pbp/3p1np1/p1nPp3/P1P1P3/2N1BN1P/1PQ1BPP1/R3R1K1 w - - 1 14,16
r2qr1k1/1ppb1pbp/3p1np1/p1nPp3/P1P1P3/2N1BN1P/1PQ1BPP1/3RR1K1 b - - 2 14,8
r3r1k1/1ppbqpbp/3p1np1/p1nPp3/P1P1P3/2N1BN1P/1PQ1BPP1/3RR1K1 w - - 3 15,26
3rr1k1/1ppbqpbp/3p1np1/p1nPp3/P1P1P3/1PN1BN1P/2QRBPP1/3R2K1 w - - 5 18,37
3rr1k1/1ppbqpbp/3p1np1/p1nPp3/P1P1P3/1PN1BN1P/2QRBPP1/1R4K1 b - - 6 18,-382
3r1rk1/1ppbqpbp/3p1np1/p1nPp3/P1P1P3/1PN1BN1P/2QRBPP1/1R4K1 w - - 7 19,-28
3r1rk1/1ppbqpbp/3p1np1/p1nPp3/P1P1P3/1PN1BN1P/2QRBPP1/4R1K1 b - - 8 19,-51
3rr1k1/1ppbqpb1/3p1npp/p1nPp3/P1P1P3/1PN1BN1P/2QRBPP1/3R2K1 w - - 0 21,56
3rr1k1/1p1bqpb1/2pp1npp/p1nPp3/P1P1P3/1PN1BN1P/2QRBPP1/4R1K1 w - - 0 22,56
3rr1k1/1p1bqpb1/2pp1npp/p1nPp3/P1P1P3/1PN1BN1P/2QRBPP1/3R2K1 b - - 1 22,49
3rr1k1/3bqpb1/1ppp1npp/p1nPp3/P1P1P3/1PN1BN1P/2QRBPP1/3R2K1 w - - 0 23,71
3rr1k1/4qpb1/1p1p2pp/p1nPpb2/P1P5/1P2BN1P/1Q1RBPP1/4R1K1 b - - 2 26,-121
3rr1k1/3bqpb1/1p1p2pp/p1nPp3/P1P5/1P2BN1P/1Q1RBPP1/1R4K1 b - - 4 27,-308
1r2r1k1/3bqpb1/1p1p2pp/p2Pp3/P1P1n3/1P1RBN1P/1Q2BPP1/1R4K1 w - - 7 29,-138
1r2r1k1/4qpb1/1p1p2pp/p2Ppb2/P1P1n1P1/1P1RBN1P/1Q2BP2/4R1K1 b - - 0 30,-179
1r2r1k1/3bq1b1/1p1p1ppp/p2Pp3/P1P1n1P1/1P2BN1P/1Q2BP2/3RR1K1 w - - 0 32,9
1r2r1k1/4q1b1/1p1p2Q1/p1nPp2p/P1P3b1/1P2BN2/4BP2/3RR1K1 w - - 0 37,358
1r1qr1k1/3n2b1/1p1p4/p2Pp3/P1P3bp/1P2BN2/2Q1BP2/3RR1K1 w - - 0 40,550
1r1qr1k1/3n2b1/1p1p2Q1/p2Pp3/P1P3bp/1P2BN2/4BP2/3RR1K1 b - - 1 40,186
1r1qr1k1/3n2b1/1p1p2Q1/p2Pp3/P1P4p/1P2BB2/5P2/3RR1K1 b - - 0 41,255
1r1qr1k1/6b1/1p1p1nQ1/p2Pp3/P1P4p/1P2BB2/5P2/3RR1K1 w - - 1 42,339
1r2r1k1/3q2b1/1p1p1n2/p2P4/P1PBp3/1P5p/4BP2/3RR1KQ b - - 1 45,-47
1r4k1/3qr1b1/1p1p1n2/p2P4/P1PBp3/1P5p/3RBP2/4R1KQ b - - 3 46,-258
6k1/1r1qr1b1/1p1p1n2/p2P4/P1PBp3/1P5p/3R1P2/3BR1KQ b - - 5 47,-84
6k1/1r2r1b1/1p1p1n2/p2P1q2/P1PBp3/1P5p/3R1P2/3BR1KQ w - - 6 48,-124
6k1/1r2r3/1p1p1n1b/p2P1q2/P1PBp3/1P2R2p/3R1P2/3B2KQ w - - 8 49,-93
r1bqr1k1/1pp2p2/3p1bp1/p1nPp2p/P1P1P3/2N2N1P/1P2BPP1/R2Q1RK1 b - - 0 14,-121
r1b1rk2/1p3p2/3q1bp1/p1QPp2p/P3P3/5N1P/1P2BPP1/2R1R1K1 b - - 0 21,192
r1b2k2/1p2rp2/5bp1/p2Pp2p/P3P3/5N1P/1P2BPP1/2R1R1K1 w - - 0 23,354
r5k1/1p2rp2/5bp1/pB1Pp1Np/P3P1bP/8/1P3PP1/2R1R1K1 b - - 4 25,355
3rr1k1/1p1b1p2/3P1bp1/pB2p1Np/P3P2P/5P2/1P4P1/2RR2K1 b - - 2 28,116
4r1k1/1p1r1p2/3P1bp1/pP2p1Np/4P2P/5P2/1P4P1/2RR2K1 w - - 1 30,132
6k1/1p1r1p2/3P1bp1/1P2p1Np/p3P2P/5P2/1P3KP1/3R4 w - - 0 33,217
6k1/3r1p2/1p1P1bp1/1P2p1Np/p3P2P/5PP1/1P3K2/3R4 w - - 0 34,205
8/3r1p2/1p1P1bpk/1P1Rp1Np/p3P2P/5PP1/1P3K2/8 b - - 5 36,311
8/3r1p2/1p1P1bpk/1P1Rp1Np/p3P2P/4KPP1/1P6/8 w - - 8 38,435
5k2/3r1p2/1p1P1bp1/1P1Rp1Np/p3P2P/5PP1/1P6/2K5 b - - 13 40,189
5k2/3r1p2/1p1P4/1P1Rp1P1/p3P2p/5P2/1P6/2K5 b - - 1 45,-67
5k2/3r1p2/1p1P4/1P2p1P1/p3P3/5P1p/1P1R4/2K5 b - - 1 46,-25
8/3r1p1R/1p1P2k1/1P2p3/p3P3/5P2/1P6/2K5 w - - 2 50,-5
8/5p2/1p1r2k1/1P2p3/p3P3/5P2/1P5R/2K5 w - - 0 51,-11
8/8/1p6/1P1KP3/p4p2/4k3/1P6/8 b - - 0 59,-63
8/4P3/1p6/1P1K4/p7/3k1p2/1P6/8 b - - 0 61,51
8/8/1Q6/1P6/p7/7K/1q2k3/8 b - - 1 70,-51
8/8/1Q6/1P6/p7/3k3K/1q6/8 w - - 2 71,6
8/8/8/1P6/p1k5/5Q1K/1q6/8 w - - 8 74,9
8/8/8/1P6/p1kqQ3/7K/8/8 w - - 10 75,298
8/8/1P6/8/3k4/p6K/8/8 w - - 0 77,394
8/8/8/8/2Q5/8/pk4K1/8 w - - 9 83,72
8/8/5Q2/8/8/5K2/p1k5/8 b - - 24 90,62
8/8/8/5Q2/8/5K2/pk6/8 w - - 27 92,40
8/8/8/8/8/5K2/p3Q3/k7 b - - 30 93,69
8/8/8/Q7/8/5K2/p1k5/8 b - - 36 96,86
8/8/1Q6/8/8/5K2/p1k5/8 w - - 39 98,81
r1bqr1k1/1ppn1pbp/3p1np1/p2Pp3/1PP1P3/2N1BN2/P1Q1BPPP/R4RK1 w - - 0 12,137
r1bqr1k1/1p1n1pbp/3p1np1/p1pPp3/1PP1P3/P1N1BN2/2Q1BPPP/R4RK1 w - c6 0 13,148
r1bqr1k1/1p1n1pbp/3p1np1/pPpPp3/2P1P3/P1N1BN2/2Q1BPPP/R4RK1 b - - 0 13,73
r1b1r1k1/2qn1pb1/1p1p1npp/pPpPp3/2P1P3/P1NQBN2/4BPPP/R3R1K1 w - - 0 16,66
r1b1r1k1/2qn1pb1/1p1p1n1p/pPpPp1p1/2P1P3/P1N1BN2/3QBPPP/R3R1K1 w - - 0 17,225
r1b1rk1b/2qn1p2/1p1p1n1N/pPpPp2p/2P1P1p1/P1NBB3/3Q1PPP/3RR1K1 b - - 5 21,322
r1b1r1kb/2qn1p2/1p1p1n2/1PpPpN1p/p1P1P1p1/P1NBB3/3Q1PPP/3RR1K1 w - - 2 23,454
r3r1kb/1bqn1p2/1p1p1n2/1PpPpN1p/p1P1P1p1/P1NBB3/2Q2PPP/2R1R1K1 b - - 5 24,325
5k2/1bqn1pb1/1pNp1n2/1PpPp2p/2P1P1p1/B1NB4/5PPP/3RR1K1 w - - 1 38,439
6k1/1bqn1pb1/1pNp1n2/1PpPp2p/2P1P1p1/B1NB4/5PPP/R3R1K1 w - - 3 39,483
8/1bqnNpbk/1p1p1n2/1PpPp2p/2P1P1p1/B1NB4/5PPP/R3R1K1 w - - 5 40,330
8/1bqn1pbk/1p1p1n2/1PpPpN1p/2P1P1p1/B1NB4/5PPP/R3R1K1 b - - 6 40,213
5b2/1bqn1p1k/1p1p1n2/1PpPpN1p/2P1P1p1/B1NB4/5PPP/R3R1K1 w - - 7 41,413
5b1k/Rbqn1p2/1p1p1n2/1PpPpN1p/2P1P1p1/2NB4/1B3PPP/4R1K1 b - - 10 42,463
5bk1/Rbqn1p2/1p1p1n2/1PpPpN1p/2P1P1p1/2NB4/1B3PPP/4R1K1 w - - 11 43,517
2q2b1k/1b1n1p2/1p1p1n2/1PpPpN1p/2P1P1p1/2NB2P1/RB3P1P/R5K1 b - - 0 45,484
2q2bk1/1b1n1p2/1p1p1n2/1PpPpN1p/2P1P1p1/2NB2P1/RB3P1P/R5K1 w - - 1 46,548
2q2bk1/Rb1n1p2/1p1p1n2/1PpPpN1p/2P1P1p1/2NB2P1/1B3P1P/R5K1 b - - 2 46,452
2q3k1/Rb1n1pb1/1p1p1n2/1PpPp2p/2P1P1p1/R1NBN1P1/1B3P1P/6K1 w - - 7 49,568
2q2bk1/Rb1n1p2/1p1p1n2/1PpPpN1p/2P1P1p1/R1NB2P1/1B3P1P/6K1 w - - 9 50,580
5bk1/Rbqn1p2/1p1p1n2/1PpPpN1p/R1P1P1p1/2BB2P1/4NP1P/6K1 w - - 15 53,497
1q3bk1/Rb1n1p2/1p1p1n2/1PpPpN1p/2P1P1p1/R1B3P1/2B1NP1P/6K1 b - - 28 59,455
2q2bk1/Rb1n1p2/1p1p1n2/1PpPpN1p/2P1P1p1/2B3P1/R1B1NP1P/6K1 b - - 30 60,385
2q2bk1/Rb1n1p2/1p1p1n2/1PpPpN1p/2P1P1p1/2B3P1/2B1NP1P/R5K1 w - - 33 62,444
5bk1/Rbqn1p2/1p1p1n2/1PpPpN1p/2P1P1p1/R1BB2P1/4NP1P/6K1 b - - 36 63,424
1q3bk1/Rb1n1p2/1p1p1n2/1PpPpN1p/2P1P1p1/2NB2P1/RB3P1P/6K1 b - - 42 66,380
5bk1/Rbqn1p2/1p1p1n2/1PpPpN1p/R1P1P3/2N2BP1/1B3P2/6K1 w - - 7 77,579
2q2bk1/Rb1n1p2/1p1p1n2/1PpPpN1p/2P1P3/R1N2PP1/1B4B1/6K1 w - - 9 86,576
1q3bk1/Rb1n1p2/1p1p1n2/1PpP1N1p/2P1PP2/2N5/RB4B1/6K1 b - - 0 92,582
1n3bk1/Rbq2p2/1p1p1n2/1PpPPN1p/2P2P2/2N2B2/RB6/6K1 b - - 0 94,511
r1bq1rk1/pppn1pbp/3p1np1/3Pp3/2P1P3/2N2N2/PP2BPPP/R1BQK2R w KQ - 1 8,46
r1bq1rk1/pppn1pb1/3p1np1/3Pp2p/2P1P3/2N1BN2/PP2BPPP/R2Q1RK1 b - - 1 9,56
r1bq1rk1/ppp2pb1/3p2p1/2nPN2p/2P1n3/2N1B3/PP2BPPP/R2Q1RK1 w - - 0 11,-95
r1bq1rk1/ppp2pb1/3p2p1/2nP3p/2P5/2NN4/PP2BPPP/R2Q1RK1 b - - 1 12,-125
r1bq1rk1/ppp2p2/3p2p1/3P3p/2P5/2PB4/P4PPP/R2Q1RK1 b - - 0 14,-61
r1bqr1k1/ppp2p2/3p2p1/3P3p/2P5/2PB4/P4PPP/R2Q1RK1 w - - 1 15,-20
r1b1r1k1/ppp2p2/3p1qp1/3P3p/2P5/2PB4/P2Q1PPP/R4RK1 w - - 5 17,-61
6k1/rp1b1p2/3p1qp1/p1pP3p/2P1B3/2P3P1/P2Q1P1P/1R4K1 b - - 4 22,-30
6k1/rp3p2/3p1qp1/p1pP1b1p/2P1B3/2P3P1/P2Q1P1P/1R4K1 w - - 5 23,139
6k1/rp3p2/3p1qp1/p1pP3p/2P1R3/2P3P1/P2Q1P1P/6K1 b - - 0 24,11
4R3/rp3pk1/3p1qp1/2pP4/p1P4p/P1P3P1/3Q1P1P/6K1 w - - 0 27,7
4R3/rp3pk1/3p1qp1/2pP4/p1P4p/P1P3PP/3Q1P2/6K1 b - - 0 27,-40
4R3/r4pk1/1p1p1qp1/2pP4/p1P4p/P1P3PP/3Q1P2/6K1 w - - 0 28,-20
4R3/r4pk1/1p1p1qp1/2pP4/p1P4p/P1P3PP/5P2/2Q3K1 b - - 1 28,-162
8/5pk1/3p2p1/2pq4/p7/P1P3PP/1Q6/6K1 b - - 1 35,-487
8/5pk1/3p2p1/2p1q3/p7/P1P3PP/1Q6/6K1 w - - 2 36,-405
8/6k1/3p2p1/4qp2/p1p5/P1P3PP/1Q3K2/8 w - - 0 38,-82
8/6k1/3p2p1/4qp2/p1p5/P1P3PP/1Q4K1/8 b - - 1 38,-272
8/6k1/6p1/3pqp2/p1p5/P1P3PP/1Q4K1/8 w - - 0 39,-160
8/6k1/6p1/3p1p2/p1p5/P1Pq2PP/1Q4K1/8 b - - 7 42,-227
8/2Q5/4k3/3p2p1/p1p2p2/P1Pq2PP/6K1/8 w - - 4 47,0
8/8/5Qqk/3p2p1/p1p2p2/P1P3PP/6K1/8 w - - 18 54,0
8/8/6k1/3p2p1/p1p2P2/P1P3KP/8/8 b - - 2 57,-478
8/8/5k2/8/p1pP1PKp/P7/8/8 b - - 0 60,-778
8/8/5k2/3P4/p4PKp/P1p5/8/8 b - - 0 61,-839
8/8/5k2/3P4/p4P1K/P7/8/2q5 w - - 0 63,-795
8/8/5k2/3P4/p4PK1/q7/8/8 w - - 0 64,-749
8/8/3q1k2/8/p4PK1/8/8/8 w - - 0 65,-813
8/8/3q1k2/8/5P2/p4K2/8/8 w - - 0 66,-849
8/8/3q4/5k2/8/4K3/p7/8 w - - 0 68,-1285
rnbq1rk1/ppp2pbp/3p1np1/3Pp3/2P1P3/2N2N2/PP2BPPP/R1BQK2R b KQ - 0 7,44
r1bqr1k1/1p3pbp/3p1np1/p1pPp3/P1P1P3/2NBRN2/1P3PPP/R2Q2K1 w - - 1 14,-42
r2qr1k1/1p1b1pbp/3p1np1/p1pPp3/P1P1P3/2NBRN2/1PQ2PPP/R5K1 w - - 3 15,-33
r2qr1k1/1p1b1pbp/3p1np1/p1pPp3/P1P1P3/2NBRN2/1PQ2PPP/4R1K1 b - - 4 15,-157
3rr1k1/3bqpb1/1p1p1npp/p1pPp3/P1P1P2P/1PNBRNP1/2Q2P2/4R1K1 b - - 0 19,-88
2brr1k1/4qpb1/1p1p1npp/p1pPp3/P1P1P2P/1PNBRNP1/2Q2P2/4R1K1 w - - 1 20,-53
3r1qk1/1b1r1pb1/1p1p1npp/p1pPp3/P1P1P2P/1PNBRNP1/2Q2P2/4R1K1 b - - 16 27,-24
3rq1k1/1b1r1pb1/1p1p1npp/p1pPp3/P1P1P2P/1PNBRNP1/2Q2P2/4R1K1 w - - 17 28,29
4r1k1/1b1qrpb1/1p1p1npp/pNpPp3/P1P1P2P/1P1B1NP1/2Q1RP2/3R2K1 b - - 24 31,-54
3r2k1/1bq1rpb1/1p1p1npp/pNpPp3/P1P1P2P/1P1BRNP1/2Q2P2/3R2K1 b - - 30 34,-40
2q1r1k1/1b2rpb1/1p1p1np1/p1pPp2p/P1P1P2P/1PNB1NP1/2Q1RP2/3R2K1 w - - 0 37,-17
4r1k1/1b1qrpb1/1p1p1np1/p1pPp2p/P1P1P2P/1PNB1NP1/4QP2/3RR1K1 b - - 11 42,-58
3r2k1/1b1qrpb1/1p1p1np1/p1pPp2p/P1P1P2P/1PNB1NP1/3Q1P2/3RR1K1 b - - 13 43,-58
3r2k1/3qrpb1/bp1p1np1/p1pPp1Np/P1P1P2P/1PNB2P1/3Q1P2/3RR1K1 w - - 16 45,9
3r2k1/3qrpb1/bp1p1np1/p1pPp2p/P1P1P2P/1PNB1NP1/3Q1P2/3RR1K1 b - - 17 45,-58
3r2k1/1b1qrpb1/1p1p1np1/p1pPp2p/P1P1P2P/1PNB1NP1/3Q1P2/3RR1K1 w - - 18 46,-47
3r2k1/1b1qrpb1/1p1p1np1/p1pPp2p/P1P1P2P/1PNBRNP1/3Q1P2/3R2K1 b - - 19 46,-111
1q2r1k1/1b2rpb1/1p1p1np1/pNpPp2p/P1P1P2P/1P1B1NP1/3QRP2/3R2K1 w - - 24 49,0
1q2r1k1/1b2rpb1/1p1p1np1/p1pPp2p/P1P1P2P/1PNB1NP1/3QRP2/3R2K1 b - - 25 49,-29
1q2r1k1/1b2rp2/1p1p1npb/p1pPp1Np/P1P1P2P/1PNB2P1/3QRP2/3R2K1 b - - 31 52,-69
4r1k1/1b1qrpb1/1p1p1np1/p1pPp1Np/P1P1P2P/1PNB1PP1/4RQ2/3R2K1 b - - 10 58,-27
4r1k1/1b1rqpb1/1p1p1np1/p1pPp1Np/P1P1P2P/1PNBRPP1/5Q2/3R2K1 w - - 17 62,6
b2rq1k1/3r1pb1/1p1p1np1/p1pPp1Np/P1P1P2P/1PNB1PP1/4R1Q1/5RK1 w - - 31 69,150
b2rq1k1/3r1pb1/1p1p1np1/p1pPp1Np/P1P1PP1P/1PNB2P1/4R1Q1/5RK1 b - - 0 69,153
b3r1k1/4rpb1/1p1p1np1/pNpPq2p/P1P1P2P/1P1B1NP1/5RQ1/5RK1 b - - 5 73,557
b4rk1/4r1b1/1p1p2p1/pNpP3p/P1P4P/1P1B2P1/5Q2/5RK1 w - - 1 77,539
b7/4r2k/1p1N2p1/p1pP3p/P1Pb3P/1P4P1/2Q3K1/5B2 b - - 2 80,579
8/6k1/1pbP1rp1/p1p3Qp/P1Pb3P/1P3NP1/4B1K1/8 w - - 3 89,572
b7/6k1/1p3rp1/p6p/P1PQ3P/1P4P1/4B3/6K1 b - - 0 93,789
8/6k1/6p1/Q6p/P1P4r/1P6/5K2/8 w - - 0 99,857
r1bqr1k1/ppp2pbp/1n1p1np1/3Pp1N1/2P1P3/2N5/PP2BPPP/R1BQ1RK1 w - - 5 10,65
r1bqr1k1/pp3pbp/1n1p1np1/2pPp1N1/2P1P2P/2N5/PP2BPP1/R1BQ1RK1 w - c6 0 11,106
1rbqr1k1/pp3pbp/1n1p1np1/2pPp3/2P1P2P/2N1BN2/PP2BPP1/R2Q1RK1 b - - 3 12,99
1rbqr1k1/1p3pbp/1n1p1np1/p1pPp3/2P1P2P/2N1BN2/PP2BPP1/R2Q1RK1 w - - 0 13,125
1r2r1k1/1p1bqpbp/1n1p1np1/p1pPp3/P1P1P2P/1QN1BN2/1P2BPP1/1R3RK1 b - - 2 15,100
1r1qr1k1/1p1b1pbp/1n1p1np1/p1pPp3/P1P1P2P/1QN1BN2/1P2BPP1/1R3RK1 w - - 3 16,125
1r2r1k1/1p1bqpbp/1n1p1np1/p1pPp3/P1P1P2P/2N1BN2/1PQ1BPP1/1R3RK1 w - - 5 17,114
3rr1k1/1p1bqpbp/1n1p1np1/p1pPp3/P1P1P2P/2N1BN2/1PQ1BPP1/3RR1K1 b - - 8 18,102
4r1k1/1p1rqpb1/1n1p1npp/p1pPp3/P1P1P1bP/1PNBBN2/2Q2PP1/3RR1K1 w - - 1 21,117
4rqk1/1p1r1pb1/1n1p1npp/p1pPp3/P1P1P2P/1PNBBP2/3QRP2/4R1K1 w - - 5 25,43
4rqk1/1p1r1pb1/1n1p1npp/p1pPp3/P1P1P2P/1PNBBP2/3QRP2/5RK1 b - - 6 25,-16
3r1qk1/1p1r1pb1/1n1p1npp/p1pPp3/P1P1P2P/1PNBBP2/3QRP2/3R2K1 b - - 8 26,-11
r5k1/1p1r1pb1/1n1p1npp/p1pPp1q1/P1P1P3/1PN2P2/QBBR1P2/3R1K2 w - - 6 33,-366
r2r1bk1/1p3p2/1n1p1npp/p1pPp1q1/P1P1P3/1PNB1P2/Q3RP2/2BR1K2 b - - 11 35,-172
r2r1bk1/1p3p2/1n1p1npp/p1pPp3/P1P1P3/1PNBRP2/Q3KP2/2BR3q b - - 15 37,-143
r2r1bk1/1p3p2/1n1p1npp/p1pPp3/P1P1P3/1PNBRP2/4KPq1/1QBR4 b - - 17 38,-295
r2r2k1/1p3pb1/1n1p1np1/p1pPp2p/P1P1P3/1PNBRP2/1B2KPq1/1Q3R2 b - - 1 40,-112
r3r1k1/1p2qpb1/1n1p1np1/p1pPp3/P1P1P3/1PNBRP2/1B2KP1R/1Q6 w - - 3 45,102
r3r1k1/1p2qpb1/1n1p1np1/p1pPp3/P1P1P3/1PNBRP2/1B3P1R/1Q3K2 b - - 4 45,-33
3rr1k1/1p2qpb1/1n1p1np1/p1pPp3/P1P1P3/1PNBRP2/1B3P1R/1Q3K2 w - - 5 46,68
4r1k1/1p1rqpb1/1n1p1np1/p1pPp3/P1P1P3/1PNBRP2/1B3P2/1Q4KR b - - 8 47,-21
3r2k1/1p1rqpb1/1n1p1np1/p1pPp3/P1P1P3/1PNBRP2/1B3P2/1Q4KR w - - 9 48,127
3r2k1/1p1rqpb1/1n1p1np1/p1pPp3/P1P1P3/1PNB1P2/1BQ1RP2/6KR w - - 13 50,41
3r2k1/1p1rqpb1/1n1p1np1/p1pPp3/P1P1P3/1PNB1P2/1BQ2P2/3R2KR w - - 17 52,120
4r1k1/1p1rqpb1/1n1p1np1/p1pPp3/P1P1P3/1PNB1P2/1B1Q1P2/3R2KR b - - 20 53,96
3r2k1/1p1rqpb1/1n1p2p1/p1pPp3/P1P1PPn1/1PNB4/1B1Q1P2/3R2KR w - - 1 55,468
3r2k1/1p1rqpb1/1n1p2p1/p1pPp3/P1P1PPn1/1PNB1P2/1B1Q4/3R2KR b - - 0 55,337
3r4/1p1r1pk1/1n1p2p1/p1pP4/P1P5/1P1B1K2/4N3/3R3R b - - 0 61,253
4r3/1p1r1pk1/1n1p2p1/p1pP4/P1P5/1P1B1K2/4N3/6RR b - - 2 62,243
3r4/1p2rpk1/1n1p2p1/p1pP1B2/P1P2N2/1P3K2/8/6RR b - - 6 64,314
rnbr2k1/ppp2pbp/5np1/4p3/2P1P3/2N2N2/PP2BPPP/1RB2RK1 b - - 1 10,23
r1br2k1/ppp2pbp/2n2np1/4p3/2P1P3/2N2N2/PP3PPP/1RBB1RK1 b - - 3 11,-26
r2r2k1/ppp2p1p/4b1p1/4b3/2PnN3/1B6/PP3PPP/1RB2RK1 w - - 0 15,-42
r5k1/ppp2pbp/4b1p1/8/2P1NP2/1P1r4/1P4PP/1RB1R1K1 w - - 1 18,-370
r5k1/ppp2pbp/4b1p1/8/2P1NP2/1P1rR3/1P4PP/1RB3K1 b - - 2 18,-554
4r1k1/ppp2p1p/6p1/5b2/2P1NP2/1P2K3/1P4PP/1R6 w - - 1 23,-663
6k1/Rpp2p1p/6p1/5b2/2Pr1P2/1P3K2/1P4PP/8 b - - 0 25,-634
6k1/Rpp2p1p/6p1/5b2/2P2P2/1r6/1P2K1PP/8 w - - 0 27,-703
R7/1pp2pkp/6p1/5b2/2P2P2/1r6/1P2K1PP/8 w - - 2 28,-725
8/1pp2pkp/6p1/5b2/2P2P2/1r6/RP2K1PP/8 b - - 3 28,-727
8/1pp2pkp/6p1/8/2b2P2/1r6/RP3KPP/8 w - - 0 32,-694
8/Rpp2pkp/6p1/1b6/5PP1/4K3/7r/8 b - - 3 36,-738
8/Rpp2pkp/b5p1/8/5PP1/5K2/7r/8 b - - 5 37,-668
8/Rpp2pkp/b5p1/8/5PP1/5K2/r7/8 w - - 6 38,-703
8/Rp3pkp/b5p1/2p5/5PP1/4K3/r7/8 w - - 0 39,-701
8/Rp3pkp/b5p1/2p3P1/5P2/4K3/r7/8 b - - 0 39,-750
8/R4pkp/b5p1/1pp3P1/5P2/4K3/r7/8 w - - 0 40,-602
8/R4pkp/b5p1/1p4P1/2p1KP2/8/r7/8 w - - 0 41,-552
8/5pkp/1r4p1/6P1/1p3P2/1K6/8/8 b - - 2 44,-704
8/6kp/1r4p1/5pP1/1p3P2/1K6/8/8 w - f6 0 45,-688
8/6kp/1r4p1/5pP1/1p3P2/8/K7/8 b - - 1 45,-987
8/6kp/1r4p1/5pP1/5P2/1p6/1K6/8 b - - 1 46,-1315
1r6/6kp/6p1/5pP1/5P2/1p6/1K6/8 w - - 2 47,-1218
1r6/6kp/6p1/5pP1/5P2/1pK5/8/8 b - - 3 47,-1345
3r4/6kp/6p1/2K2pP1/4qP2/8/8/8 w - - 4 51,-1290
3r4/6k1/6p1/5pqp/2K5/8/8/8 w - - 0 54,-953
3r4/6k1/6p1/5pqp/8/2K5/8/8 b - - 1 54,-1500
3r4/6k1/8/5p1p/5qp1/1K6/8/8 w - - 0 57,-954
3r4/6k1/8/5p1p/5qp1/8/2K5/8 b - - 1 57,-1500
3r4/6k1/8/5p1p/4q3/6p1/1K6/8 w - - 0 59,-1456
r1br2k1/ppp2pbp/2n2np1/4p3/2P1P3/2N2N2/PP2BPPP/1RB2RK1 w - - 2 11,28
2r3k1/pp3p2/4bbpp/2P1p3/3nP3/1P3N2/PR2BPPP/5RK1 w - - 3 19,488
2r3k1/pp3p2/4bbpp/2P1p3/3nP3/1P3N2/PR2BPPP/2R3K1 b - - 4 19,421
